;Po?tna ;;
;5252;Trnovo pri Gorici;
;2254;Trnovska vas;
;1222;Trojane;
;1236;Trzin;
;4290;Tr?i?;
;8295;Tr?i??e;
;1311;Turjak;
;9224;Turni??e;
U;8323;Ur?na sela;
V;1252;Va?e;
;1336;Vas;
;3320;Velenje - dostava;
;3322;Velenje - po?tni predali;
;3503;Velenje;Gorenje
;3504;Velenje;ERA
;8212;Velika Loka;
;2274;Velika Nedelja;
;9225;Velika Polana;
;1315;Velike La??e;
;8213;Veliki Gaber;
;9241;Ver?ej;
;1312;Videm - Dobrepolje;
;2284;Videm pri Ptuju;
;8344;Vinica;
;5271;Vipava;
;4212;Visoko;
;1294;Vi?nja Gora;
;3205;Vitanje;
;2255;Vitomarci;
;1217;Vodice;
;3212;Vojnik;
;5293;Vol?ja Draga;
;2232;Voli?ina;
;3305;Vransko;
;6217;Vremski Britof;
;1360;Vrhnika;
;2365;Vuhred;
;2367;Vuzenica;
Z;8292;Zabukovje ;
;1410;Zagorje ob Savi;
;1303;Zagradec;
;2283;Zavr?;
;8272;Zdole ;
;4201;Zgornja Besnica;
;2242;Zgornja Korena;
;2201;Zgornja Kungota;
;2316;Zgornja Lo?nica;
;2314;Zgornja Polskava;
;2213;Zgornja Velka;
;4247;Zgornje Gorje;
;4206;Zgornje Jezersko;
;2285;Zgornji Leskovec;
;1432;Zidani Most;
;3214;Zre?e;
?;4209;?abnica;
;3310;?alec;
;4228;?elezniki;
;2287;?etale;
;4226;?iri;
;4274;?irovnica;
;8360;?u?emberk;

