ID,teza,datum_oddaje,vmesna_postaja
82,4.44,3/31/2018,
83,15.12,10/16/2018,
84,18.23,4/21/2018,
85,2.70,9/5/2018,
86,8.51,7/11/2018,
87,2.76,8/31/2018,
88,14.87,9/25/2018,
89,0.56,9/30/2018,
90,10.87,5/27/2018,
91,12.59,4/26/2018,
92,7.51,11/20/2018,
93,16.70,6/4/2018,
94,17.63,3/6/2018,
95,2.41,2/25/2018,
96,10.04,11/4/2018,
97,17.36,10/17/2018,
98,13.14,5/27/2018,
99,17.37,5/9/2018,
100,14.53,11/30/2018,
101,5.11,9/3/2018,
102,0.01,2/1/2018,
103,3.52,6/20/2018,
104,1.22,3/18/2018,
105,17.13,10/9/2018,
106,3.04,2/8/2018,
107,5.00,9/9/2018,
108,10.57,1/31/2018,
109,13.50,2/18/2018,
110,7.75,8/23/2018,
111,4.29,10/19/2018,
112,0.91,5/31/2018,
113,13.74,4/25/2018,
114,6.64,11/10/2018,
115,18.63,4/19/2018,
116,6.93,3/9/2018,
117,6.53,6/5/2018,
118,4.20,7/10/2018,
119,13.30,9/15/2018,
120,6.07,3/30/2018,
121,18.92,11/26/2018,
122,3.20,8/1/2018,
123,7.45,5/14/2018,
124,1.17,9/19/2018,
125,10.44,10/30/2018,
126,6.06,5/27/2018,
127,6.09,1/5/2018,
128,6.92,7/4/2018,
129,15.67,2/11/2018,
130,13.56,6/17/2018,
131,2.14,1/5/2018,
132,0.37,6/20/2018,
133,16.50,7/15/2018,
134,1.23,11/10/2018,
135,18.88,10/23/2018,
136,16.94,6/19/2018,
137,12.73,6/11/2018,
138,1.69,4/17/2018,
139,6.56,6/30/2018,
140,16.77,10/18/2018,
141,16.49,1/25/2018,
142,7.54,1/13/2018,
143,0.20,11/9/2018,
144,4.64,3/27/2018,
145,16.81,8/3/2018,
146,11.15,1/14/2018,
147,1.93,5/22/2018,
148,12.19,1/26/2018,
149,8.99,6/13/2018,
150,5.60,4/12/2018,
151,15.20,1/24/2018,
152,4.09,2/13/2018,
153,3.29,9/2/2018,
154,13.59,10/4/2018,
155,4.29,10/12/2018,
156,9.72,8/4/2018,
157,0.30,7/26/2018,
158,19.28,3/19/2018,
159,6.12,1/14/2018,
160,12.23,6/2/2018,
161,9.25,6/1/2018,
162,14.19,2/21/2018,
163,7.93,7/11/2018,
164,4.06,2/27/2018,
165,8.20,1/17/2018,
166,5.43,2/20/2018,
167,9.31,8/6/2018,
168,16.30,11/19/2018,
169,2.70,8/6/2018,
170,2.64,7/11/2018,
171,19.76,10/5/2018,
172,2.04,8/18/2018,
173,16.05,7/26/2018,
174,10.65,4/3/2018,
175,5.26,1/29/2018,
176,3.51,1/24/2018,
177,1.61,7/1/2018,
178,1.31,3/16/2018,
179,9.86,8/2/2018,
180,3.68,11/11/2018,
181,12.04,9/28/2018,
182,4.60,10/10/2018,
183,16.31,11/25/2018,
184,8.88,1/26/2018,
185,19.99,2/5/2018,
186,14.93,7/28/2018,
187,1.96,8/18/2018,
188,8.53,8/29/2018,
189,12.76,5/21/2018,
190,8.85,5/29/2018,
191,17.72,7/1/2018,
192,15.79,8/31/2018,
193,16.18,8/22/2018,
194,13.71,7/31/2018,
195,2.31,3/7/2018,
196,3.63,10/8/2018,
197,0.13,4/20/2018,
198,7.24,5/24/2018,
199,8.93,6/14/2018,
200,0.84,10/6/2018,
201,0.24,2/19/2018,
202,9.77,9/20/2018,
203,14.14,3/21/2018,
204,17.98,8/20/2018,
205,4.81,10/8/2018,
206,12.80,11/4/2018,
207,8.37,1/21/2018,
208,15.17,6/14/2018,
209,3.94,3/2/2018,
210,3.37,2/10/2018,
211,17.03,8/28/2018,
212,6.31,8/8/2018,
213,11.13,4/14/2018,
214,4.98,3/2/2018,
215,7.43,5/18/2018,
216,2.98,7/27/2018,
217,2.53,7/8/2018,
218,19.17,4/12/2018,
219,18.35,6/12/2018,
220,3.66,9/15/2018,
221,4.61,1/23/2018,
222,13.89,3/30/2018,
223,7.36,1/10/2018,
224,16.48,9/30/2018,
225,12.95,9/8/2018,
226,17.52,8/16/2018,
227,5.44,4/3/2018,
228,19.24,7/30/2018,
229,14.33,5/31/2018,
230,7.07,10/1/2018,
231,18.81,5/15/2018,
232,13.99,8/31/2018,
233,16.16,3/26/2018,
234,5.49,2/26/2018,
235,15.19,8/30/2018,
236,10.08,6/27/2018,
237,6.93,6/1/2018,
238,2.05,8/29/2018,
239,2.27,10/29/2018,
240,15.03,8/21/2018,
241,9.36,11/15/2018,
242,4.48,5/20/2018,
243,1.83,1/7/2018,
244,8.07,4/15/2018,
245,13.25,2/22/2018,
246,14.08,7/29/2018,
247,16.99,10/23/2018,
248,4.28,6/17/2018,
249,8.39,4/12/2018,
250,5.39,2/26/2018,
251,7.13,11/6/2018,
252,12.24,10/18/2018,
253,3.25,7/29/2018,
254,5.99,1/23/2018,
255,8.09,4/2/2018,
256,18.65,6/10/2018,
257,9.52,2/25/2018,
258,4.50,10/3/2018,
259,12.37,6/24/2018,
260,16.31,5/22/2018,
261,8.21,8/16/2018,
262,5.21,5/28/2018,
263,14.45,11/8/2018,
264,6.85,8/1/2018,
265,0.68,9/6/2018,
266,17.71,3/17/2018,
267,5.92,6/29/2018,
268,2.30,11/3/2018,
269,11.72,5/31/2018,
270,7.69,5/22/2018,
271,3.29,1/30/2018,
272,2.60,1/15/2018,
273,13.43,6/29/2018,
274,5.87,2/22/2018,
275,1.68,4/6/2018,
276,8.77,8/10/2018,
277,3.18,10/26/2018,
278,8.50,10/14/2018,
279,18.00,1/27/2018,
280,2.88,10/30/2018,
281,9.34,10/14/2018,
282,5.41,8/15/2018,
283,11.10,10/1/2018,
284,10.54,2/12/2018,
285,12.49,7/4/2018,
286,2.46,4/9/2018,
287,1.08,10/4/2018,
288,6.39,9/14/2018,
289,11.89,11/28/2018,
290,11.17,6/8/2018,
291,11.00,3/31/2018,
292,2.43,5/13/2018,
293,1.77,4/12/2018,
294,19.99,2/19/2018,
295,17.09,4/14/2018,
296,4.95,5/16/2018,
297,17.51,11/23/2018,
298,14.45,8/30/2018,
299,0.62,3/8/2018,
300,0.10,4/3/2018,
301,9.19,10/16/2018,
302,7.41,7/2/2018,
303,10.98,6/9/2018,
304,10.69,2/14/2018,
305,6.24,9/28/2018,
306,19.86,7/12/2018,
307,0.85,7/14/2018,
308,16.98,6/20/2018,
309,4.79,5/7/2018,
310,3.53,4/3/2018,
311,8.68,9/25/2018,
312,17.84,5/29/2018,
313,13.02,10/24/2018,
314,8.60,9/8/2018,
315,14.95,5/3/2018,
316,0.13,4/17/2018,
317,14.41,10/22/2018,
318,14.06,7/19/2018,
319,7.59,5/25/2018,
320,17.76,2/26/2018,
321,17.56,5/3/2018,
322,11.73,11/3/2018,
323,0.18,9/12/2018,
324,4.24,7/25/2018,
325,11.70,8/7/2018,
326,19.76,9/3/2018,
327,5.28,11/16/2018,
328,11.59,9/8/2018,
329,3.78,10/4/2018,
330,10.99,7/16/2018,
331,8.16,8/8/2018,
332,19.31,9/24/2018,
333,9.69,4/5/2018,
334,2.83,5/12/2018,
335,10.23,11/29/2018,
336,13.80,5/18/2018,
337,18.98,9/15/2018,
338,9.68,11/17/2018,
339,3.53,8/5/2018,
340,0.06,11/10/2018,
341,1.65,2/10/2018,
342,4.94,7/15/2018,
343,12.47,1/11/2018,
344,6.34,1/2/2018,
345,14.48,5/31/2018,
346,17.58,11/3/2018,
347,17.09,10/25/2018,
348,9.67,6/4/2018,
349,0.61,3/7/2018,
350,11.16,6/18/2018,
351,11.87,5/14/2018,
352,8.43,10/25/2018,
353,12.39,5/13/2018,
354,4.46,10/26/2018,
355,17.45,7/3/2018,
356,12.42,5/25/2018,
357,17.96,1/12/2018,
358,19.12,1/26/2018,
359,6.87,8/29/2018,
360,8.00,6/19/2018,
361,18.25,10/6/2018,
362,6.06,1/8/2018,
363,8.22,7/26/2018,
364,17.43,8/20/2018,
365,13.61,2/26/2018,
366,11.42,4/6/2018,
367,6.51,10/19/2018,
368,12.00,1/11/2018,
369,11.68,5/24/2018,
370,9.02,5/7/2018,
371,18.11,10/28/2018,
372,4.59,3/2/2018,
373,7.90,4/24/2018,
374,14.46,1/11/2018,
375,18.30,9/28/2018,
376,4.22,9/2/2018,
377,15.96,3/25/2018,
378,16.56,4/2/2018,
379,17.49,8/31/2018,
380,12.80,6/3/2018,
381,12.15,3/13/2018,
382,6.13,10/21/2018,
383,12.08,5/23/2018,
384,4.56,5/12/2018,
385,5.70,10/3/2018,
386,10.38,3/20/2018,
387,15.68,9/6/2018,
388,16.54,4/4/2018,
389,17.57,6/15/2018,
390,1.51,1/2/2018,
391,7.92,6/15/2018,
392,2.83,1/25/2018,
393,6.12,6/23/2018,
394,12.91,9/28/2018,
395,14.16,2/25/2018,
396,17.46,10/2/2018,
397,5.17,8/27/2018,
398,4.35,4/17/2018,
399,12.45,3/22/2018,
400,5.85,5/16/2018,
401,13.02,2/3/2018,
402,15.71,5/9/2018,
403,17.16,7/28/2018,
404,14.85,2/14/2018,
405,5.47,9/3/2018,
406,14.85,3/20/2018,
407,19.67,8/14/2018,
408,14.24,2/11/2018,
409,6.56,7/16/2018,
410,10.59,7/14/2018,
411,1.93,5/6/2018,
412,17.85,5/3/2018,
413,9.22,9/15/2018,
414,3.12,11/18/2018,
415,5.48,2/22/2018,
416,13.14,5/1/2018,
417,18.21,7/8/2018,
418,3.96,9/19/2018,
419,6.72,3/15/2018,
420,4.89,5/13/2018,
421,6.71,4/26/2018,
422,4.02,9/13/2018,
423,12.51,10/5/2018,
424,19.30,8/31/2018,
425,19.30,6/6/2018,
426,14.34,11/30/2018,
427,6.03,4/3/2018,
428,14.69,10/3/2018,
429,7.94,10/30/2018,
430,9.63,10/22/2018,
431,3.06,9/19/2018,
432,3.28,3/3/2018,
433,5.85,6/29/2018,
434,19.92,7/6/2018,
435,13.92,9/3/2018,
436,13.76,10/9/2018,
437,19.51,9/27/2018,
438,19.10,11/17/2018,
439,7.48,8/6/2018,
440,16.86,3/26/2018,
441,16.07,5/10/2018,
442,2.41,10/15/2018,
443,6.69,1/7/2018,
444,6.71,5/12/2018,
445,0.95,2/25/2018,
446,8.46,11/24/2018,
447,1.49,6/25/2018,
448,17.54,5/26/2018,
449,4.73,6/29/2018,
450,11.84,4/29/2018,
451,1.53,4/26/2018,
452,9.49,3/22/2018,
453,3.59,10/19/2018,
454,19.86,7/4/2018,
455,11.90,4/15/2018,
456,9.10,1/10/2018,
457,15.16,2/19/2018,
458,13.05,8/27/2018,
459,18.30,9/10/2018,
460,1.79,3/5/2018,
461,5.33,3/9/2018,
462,16.28,10/28/2018,
463,0.12,3/1/2018,
464,12.89,6/30/2018,
465,17.30,2/2/2018,
466,2.76,1/10/2018,
467,14.03,4/23/2018,
468,13.39,9/25/2018,
469,8.43,3/6/2018,
470,18.51,2/7/2018,
471,16.38,5/29/2018,
472,17.37,6/25/2018,
473,18.82,1/1/2018,
474,3.02,2/21/2018,
475,14.22,4/28/2018,
476,4.49,3/24/2018,
477,12.66,11/14/2018,
478,7.59,6/16/2018,
479,4.49,5/18/2018,
480,5.61,5/2/2018,
481,7.11,8/6/2018,
482,6.02,10/11/2018,
483,17.12,1/25/2018,
484,18.08,3/27/2018,
485,13.96,6/5/2018,
486,2.59,5/3/2018,
487,2.92,11/30/2018,
488,14.75,8/9/2018,
489,13.88,9/13/2018,
490,19.62,7/9/2018,
491,19.84,4/30/2018,
492,1.15,5/30/2018,
493,8.84,9/19/2018,
494,11.70,7/7/2018,
495,11.21,6/2/2018,
496,5.70,2/19/2018,
497,11.24,5/19/2018,
498,9.45,7/28/2018,
499,8.65,7/16/2018,
500,1.41,1/17/2018,
501,15.91,5/11/2018,
502,15.06,9/7/2018,
503,7.14,9/22/2018,
504,3.76,8/22/2018,
505,9.49,10/12/2018,
506,8.00,4/25/2018,
507,17.07,6/9/2018,
508,10.10,10/31/2018,
509,5.75,4/14/2018,
510,8.61,3/3/2018,
511,14.70,9/10/2018,
512,8.09,6/12/2018,
513,17.09,8/22/2018,
514,4.67,1/29/2018,
515,7.71,7/16/2018,
516,16.58,2/19/2018,
517,13.48,3/6/2018,
518,4.48,4/7/2018,
519,8.18,1/1/2018,
520,8.56,10/31/2018,
521,2.25,3/17/2018,
522,17.87,8/28/2018,
523,8.03,4/18/2018,
524,5.09,10/16/2018,
525,0.25,6/19/2018,
526,8.49,9/21/2018,
527,1.78,6/9/2018,
528,12.10,8/1/2018,
529,18.63,8/5/2018,
530,6.89,6/13/2018,
531,7.98,4/3/2018,
532,6.45,1/3/2018,
533,16.86,8/22/2018,
534,0.17,2/13/2018,
535,3.85,7/2/2018,
536,12.54,5/4/2018,
537,13.70,3/9/2018,
538,0.71,11/18/2018,
539,18.45,3/22/2018,
540,12.91,1/4/2018,
541,10.15,9/25/2018,
542,15.11,10/7/2018,
543,9.46,8/2/2018,
544,19.65,2/2/2018,
545,17.78,1/11/2018,
546,8.37,11/14/2018,
547,17.16,2/3/2018,
548,4.61,3/24/2018,
549,12.16,6/9/2018,
550,18.04,10/16/2018,
551,1.64,11/30/2018,
552,19.29,5/8/2018,
553,3.17,10/31/2018,
554,19.60,5/12/2018,
555,12.66,1/17/2018,
556,10.27,2/28/2018,
557,12.52,8/31/2018,
558,13.34,7/10/2018,
559,3.50,10/5/2018,
560,8.12,2/6/2018,
561,15.14,1/29/2018,
562,2.89,5/26/2018,
563,18.54,4/12/2018,
564,7.43,1/27/2018,
565,4.33,7/30/2018,
566,19.60,5/24/2018,
567,0.32,7/18/2018,
568,14.39,8/19/2018,
569,1.13,9/27/2018,
570,3.88,6/10/2018,
571,13.30,1/17/2018,
572,5.45,10/27/2018,
573,11.13,4/22/2018,
574,0.06,1/30/2018,
575,16.07,11/12/2018,
576,13.63,2/26/2018,
577,12.90,7/13/2018,
578,4.92,10/3/2018,
579,6.76,8/26/2018,
580,6.16,7/14/2018,
581,5.49,2/6/2018,
582,16.42,7/7/2018,
583,13.54,3/2/2018,
584,17.99,9/5/2018,
585,0.47,4/4/2018,
586,4.31,10/25/2018,
587,13.07,5/30/2018,
588,19.79,1/4/2018,
589,18.03,10/9/2018,
590,19.84,1/17/2018,
591,7.74,7/14/2018,
592,7.85,4/15/2018,
593,6.74,1/2/2018,
594,11.61,11/15/2018,
595,11.42,10/17/2018,
596,6.15,11/25/2018,
597,6.81,6/3/2018,
598,9.12,5/15/2018,
599,0.16,5/11/2018,
600,1.93,7/11/2018,
601,11.51,1/2/2018,
602,5.91,11/26/2018,
603,3.01,7/2/2018,
604,8.96,11/26/2018,
605,19.94,3/5/2018,
606,13.55,3/18/2018,
607,13.57,8/12/2018,
608,14.25,8/6/2018,
609,18.77,11/16/2018,
610,18.41,8/4/2018,
611,5.75,6/29/2018,
612,8.64,1/8/2018,
613,7.49,7/27/2018,
614,0.24,9/4/2018,
615,17.15,3/3/2018,
616,18.34,7/29/2018,
617,19.55,2/26/2018,
618,18.95,2/15/2018,
619,19.46,11/16/2018,
620,15.05,3/3/2018,
621,15.80,11/30/2018,
622,15.22,10/14/2018,
623,8.35,10/25/2018,
624,9.32,1/3/2018,
625,12.87,1/21/2018,
626,8.06,3/30/2018,
627,11.47,10/17/2018,
628,0.97,11/25/2018,
629,16.60,9/1/2018,
630,18.47,3/4/2018,
631,4.85,10/5/2018,
632,12.21,5/24/2018,
633,15.63,7/3/2018,
634,3.56,4/3/2018,
635,17.85,7/23/2018,
636,7.75,8/1/2018,
637,1.75,4/27/2018,
638,10.46,11/30/2018,
639,8.84,3/7/2018,
640,18.10,9/3/2018,
641,16.34,10/30/2018,
642,4.10,1/5/2018,
643,5.62,2/19/2018,
644,15.97,1/16/2018,
645,4.81,2/11/2018,
646,3.05,4/19/2018,
647,9.51,6/10/2018,
648,16.78,10/9/2018,
649,2.04,6/10/2018,
650,14.01,5/30/2018,
651,14.85,5/2/2018,
652,4.71,10/13/2018,
653,3.65,4/11/2018,
654,12.58,7/4/2018,
655,0.10,9/26/2018,
656,12.04,9/14/2018,
657,6.31,4/23/2018,
658,2.06,8/3/2018,
659,2.39,1/11/2018,
660,12.60,7/24/2018,
661,2.33,10/17/2018,
662,6.87,3/20/2018,
663,15.73,2/7/2018,
664,0.66,3/4/2018,
665,14.29,3/13/2018,
666,4.67,10/9/2018,
667,13.04,7/25/2018,
668,7.67,5/12/2018,
669,1.61,7/28/2018,
670,3.94,7/20/2018,
671,2.75,3/2/2018,
672,16.78,11/24/2018,
673,11.76,7/31/2018,
674,1.37,8/27/2018,
675,3.78,1/15/2018,
676,10.27,8/10/2018,
677,17.94,5/18/2018,
678,2.08,4/6/2018,
679,3.02,2/1/2018,
680,8.03,3/12/2018,
681,5.79,11/13/2018,
682,5.10,7/28/2018,
683,13.00,10/10/2018,
684,15.50,10/31/2018,
685,14.99,11/5/2018,
686,1.75,8/23/2018,
687,16.94,8/3/2018,
688,4.82,9/3/2018,
689,3.52,1/14/2018,
690,11.10,11/4/2018,
691,2.63,1/30/2018,
692,4.71,3/12/2018,
693,16.56,1/31/2018,
694,1.52,1/28/2018,
695,1.32,5/21/2018,
696,16.71,6/7/2018,
697,13.72,7/3/2018,
698,2.05,5/30/2018,
699,12.43,2/24/2018,
700,7.56,2/18/2018,
701,2.24,4/28/2018,
702,11.62,6/7/2018,
703,10.87,6/30/2018,
704,0.07,5/3/2018,
705,10.93,8/9/2018,
706,12.08,4/1/2018,
707,16.61,9/4/2018,
708,5.33,11/17/2018,
709,8.48,2/9/2018,
710,11.45,10/30/2018,
711,14.05,9/22/2018,
712,18.91,9/15/2018,
713,13.96,8/9/2018,
714,19.58,7/7/2018,
715,8.92,6/24/2018,
716,16.42,7/24/2018,
717,10.36,8/8/2018,
718,8.61,5/26/2018,
719,14.56,2/3/2018,
720,16.22,11/9/2018,
721,17.05,10/30/2018,
722,4.34,7/12/2018,
723,6.40,7/11/2018,
724,18.12,10/30/2018,
725,10.93,11/21/2018,
726,8.09,10/4/2018,
727,11.28,8/7/2018,
728,0.42,1/23/2018,
729,17.72,2/19/2018,
730,16.94,10/22/2018,
731,13.03,9/23/2018,
732,3.43,8/24/2018,
733,16.10,1/15/2018,
734,7.45,5/1/2018,
735,0.99,7/4/2018,
736,1.09,8/25/2018,
737,17.60,7/2/2018,
738,6.23,2/27/2018,
739,7.61,1/10/2018,
740,13.73,8/22/2018,
741,16.75,4/30/2018,
742,1.22,11/12/2018,
743,4.71,6/21/2018,
744,13.65,5/17/2018,
745,14.93,1/3/2018,
746,6.92,3/7/2018,
747,15.40,8/12/2018,
748,9.37,4/1/2018,
749,12.45,2/16/2018,
750,9.73,8/22/2018,
751,8.51,3/29/2018,
752,2.54,10/24/2018,
753,8.93,5/7/2018,
754,3.01,1/3/2018,
755,5.75,7/20/2018,
756,9.88,3/3/2018,
757,1.98,8/27/2018,
758,9.29,1/4/2018,
759,7.43,2/6/2018,
760,12.81,7/2/2018,
761,16.67,4/28/2018,
762,0.39,8/9/2018,
763,19.34,5/15/2018,
764,10.34,7/16/2018,
765,19.47,2/26/2018,
766,4.35,9/7/2018,
767,0.69,5/27/2018,
768,14.76,6/11/2018,
769,17.00,8/12/2018,
770,6.60,7/19/2018,
771,7.03,11/20/2018,
772,17.17,4/16/2018,
773,4.05,5/12/2018,
774,5.52,5/24/2018,
775,15.35,2/3/2018,
776,6.44,10/17/2018,
777,15.53,5/8/2018,
778,1.33,5/17/2018,
779,9.50,2/3/2018,
780,18.59,10/10/2018,
781,9.05,8/15/2018,
782,11.17,11/23/2018,
783,18.39,11/15/2018,
784,0.58,8/26/2018,
785,6.05,2/10/2018,
786,1.25,2/11/2018,
787,3.17,3/11/2018,
788,4.02,6/8/2018,
789,7.39,10/16/2018,
790,6.59,8/19/2018,
791,0.02,1/19/2018,
792,17.58,11/28/2018,
793,12.76,11/17/2018,
794,10.20,8/16/2018,
795,12.07,9/1/2018,
796,16.51,7/19/2018,
797,8.72,7/24/2018,
798,18.92,1/11/2018,
799,17.08,11/3/2018,
800,7.83,9/28/2018,
801,0.54,7/5/2018,
802,19.51,6/23/2018,
803,14.81,11/5/2018,
804,13.31,8/24/2018,
805,17.47,4/25/2018,
806,15.08,10/4/2018,
807,4.74,4/14/2018,
808,4.50,3/22/2018,
809,8.50,7/14/2018,
810,12.08,2/1/2018,
811,10.74,9/19/2018,
812,2.46,2/19/2018,
813,19.51,11/22/2018,
814,14.93,10/10/2018,
815,16.28,5/31/2018,
816,12.62,5/23/2018,
817,1.14,11/7/2018,
818,4.25,10/6/2018,
819,12.78,5/3/2018,
820,5.52,11/20/2018,
821,6.89,10/2/2018,
822,1.81,10/6/2018,
823,0.22,2/4/2018,
824,7.75,9/10/2018,
825,4.49,8/27/2018,
826,12.51,10/9/2018,
827,7.64,8/18/2018,
828,5.22,11/28/2018,
829,5.61,9/4/2018,
830,10.97,3/24/2018,
831,6.05,11/5/2018,
832,14.38,1/11/2018,
833,16.60,9/14/2018,
834,17.43,5/1/2018,
835,8.17,4/26/2018,
836,13.38,4/11/2018,
837,15.61,6/5/2018,
838,13.12,4/8/2018,
839,15.49,11/8/2018,
840,14.31,4/9/2018,
841,18.43,4/2/2018,
842,16.22,2/19/2018,
843,19.15,5/6/2018,
844,19.82,7/7/2018,
845,5.86,4/1/2018,
846,12.13,5/2/2018,
847,9.84,8/2/2018,
848,8.94,3/17/2018,
849,10.10,11/10/2018,
850,0.15,10/26/2018,
851,13.44,4/20/2018,
852,1.07,5/5/2018,
853,19.63,1/17/2018,
854,7.77,11/23/2018,
855,4.98,6/4/2018,
856,14.82,4/10/2018,
857,1.41,9/11/2018,
858,11.79,11/17/2018,
859,7.86,9/16/2018,
860,12.36,7/15/2018,
861,13.13,3/13/2018,
862,4.98,11/14/2018,
863,16.29,4/23/2018,
864,16.80,4/16/2018,
865,17.44,7/3/2018,
866,14.53,7/29/2018,
867,11.84,9/17/2018,
868,1.66,9/10/2018,
869,8.48,8/1/2018,
870,17.24,7/15/2018,
871,15.70,7/24/2018,
872,6.28,10/14/2018,
873,5.20,7/26/2018,
874,4.04,11/21/2018,
875,13.23,10/5/2018,
876,14.38,11/15/2018,
877,1.46,8/16/2018,
878,2.40,10/30/2018,
879,7.26,11/1/2018,
880,12.21,7/17/2018,
881,14.69,7/23/2018,
882,18.09,4/27/2018,
883,4.06,7/6/2018,
884,19.93,1/3/2018,
885,5.02,5/18/2018,
886,17.36,6/23/2018,
887,11.45,1/27/2018,
888,3.23,8/27/2018,
889,5.82,9/7/2018,
890,14.41,5/18/2018,
891,15.83,6/14/2018,
892,7.28,7/25/2018,
893,12.27,2/2/2018,
894,13.24,6/27/2018,
895,18.01,7/27/2018,
896,7.38,1/20/2018,
897,12.45,11/30/2018,
898,5.53,7/22/2018,
899,18.87,3/16/2018,
900,15.27,1/8/2018,
901,11.85,1/30/2018,
902,19.85,4/23/2018,
903,0.17,7/3/2018,
904,3.16,9/11/2018,
905,16.01,10/18/2018,
906,19.93,8/7/2018,
907,2.72,2/14/2018,
908,2.82,7/30/2018,
909,12.45,1/20/2018,
910,9.42,3/29/2018,
911,19.05,10/4/2018,
912,1.27,3/16/2018,
913,2.40,5/5/2018,
914,13.32,8/18/2018,
915,12.24,5/13/2018,
916,11.35,11/15/2018,
917,11.45,8/25/2018,
918,2.89,3/28/2018,
919,5.11,5/11/2018,
920,13.42,9/6/2018,
921,18.06,11/16/2018,
922,10.40,7/17/2018,
923,1.37,10/29/2018,
924,6.04,8/3/2018,
925,2.08,4/1/2018,
926,19.32,5/6/2018,
927,1.42,9/12/2018,
928,10.63,4/23/2018,
929,10.06,11/30/2018,
930,4.64,4/10/2018,
931,11.03,4/25/2018,
932,3.22,11/15/2018,
933,12.89,1/9/2018,
934,17.32,7/31/2018,
935,7.66,5/5/2018,
936,1.34,10/20/2018,
937,17.33,11/30/2018,
938,15.99,6/24/2018,
939,0.79,10/31/2018,
940,8.01,1/15/2018,
941,1.85,7/26/2018,
942,2.94,1/11/2018,
943,2.98,8/23/2018,
944,9.40,11/21/2018,
945,17.89,6/2/2018,
946,18.51,6/21/2018,
947,12.58,6/23/2018,
948,0.98,3/10/2018,
949,10.01,3/16/2018,
950,19.76,6/24/2018,
951,14.48,8/7/2018,
952,17.10,2/27/2018,
953,9.15,6/28/2018,
954,12.35,10/10/2018,
955,12.89,7/29/2018,
956,4.80,3/26/2018,
957,1.84,10/23/2018,
958,14.59,3/12/2018,
959,17.78,6/10/2018,
960,14.19,4/25/2018,
961,9.79,1/26/2018,
962,19.54,7/6/2018,
963,9.48,9/1/2018,
964,1.61,4/11/2018,
965,11.08,7/17/2018,
966,0.72,3/30/2018,
967,17.61,10/28/2018,
968,3.74,8/7/2018,
969,4.83,5/4/2018,
970,18.56,7/17/2018,
971,8.68,4/24/2018,
972,3.79,9/26/2018,
973,12.86,7/5/2018,
974,11.53,5/10/2018,
975,0.25,5/14/2018,
976,4.04,1/15/2018,
977,14.02,8/1/2018,
978,18.34,9/21/2018,
979,8.65,10/9/2018,
980,4.55,8/4/2018,
981,0.88,1/1/2018,
982,3.36,1/25/2018,
983,16.35,8/16/2018,
984,11.87,2/5/2018,
985,5.11,9/26/2018,
986,14.73,10/27/2018,
987,18.24,8/15/2018,
988,7.23,2/7/2018,
989,7.74,7/25/2018,
990,14.07,11/29/2018,
991,4.16,4/4/2018,
992,16.04,2/7/2018,
993,0.79,10/22/2018,
994,0.13,9/30/2018,
995,12.78,4/21/2018,
996,19.04,10/3/2018,
