ID,datum oddaje,vmesna postaja,teza
280,5/22/2018,,12.67
281,7/30/2018,,10.44
282,8/13/2018,,12.40
283,7/7/2018,,0.93
284,5/17/2018,,15.86
285,10/11/2018,,15.94
286,5/19/2018,,17.91
287,5/12/2018,,12.59
288,7/12/2018,,3.90
289,7/28/2018,,11.94
290,11/4/2018,,10.60
291,5/4/2018,,2.39
292,6/10/2018,,6.96
293,4/21/2018,,13.42
294,2/28/2018,,10.07
295,3/9/2018,,13.49
296,11/1/2018,,11.11
297,5/26/2018,,13.23
298,10/13/2018,,18.10
299,10/14/2018,,3.82
300,10/23/2018,,15.98
301,9/13/2018,,15.28
302,5/26/2018,,14.11
303,3/12/2018,,6.61
304,8/14/2018,,2.92
305,10/1/2018,,2.36
306,2/13/2018,,10.17
307,11/16/2018,,7.59
308,2/26/2018,,7.32
309,9/11/2018,,8.38
310,8/30/2018,,14.46
311,5/28/2018,,16.38
312,4/14/2018,,10.02
313,6/11/2018,,7.24
314,10/24/2018,,19.72
315,6/11/2018,,10.30
316,9/27/2018,,13.63
317,5/7/2018,,5.40
318,11/25/2018,,17.86
319,4/18/2018,,9.49
320,6/20/2018,,2.09
321,5/30/2018,,1.93
322,6/9/2018,,5.78
323,3/4/2018,,10.08
324,10/16/2018,,2.46
325,5/23/2018,,3.77
326,10/15/2018,,4.37
327,11/11/2018,,7.08
328,11/24/2018,,18.23
329,6/15/2018,,12.48
330,3/21/2018,,12.40
331,9/22/2018,,11.41
332,4/12/2018,,12.60
333,4/12/2018,,1.22
334,8/21/2018,,11.20
335,5/16/2018,,14.85
336,7/19/2018,,2.97
337,5/26/2018,,15.72
338,3/14/2018,,7.69
339,3/21/2018,,6.29
340,8/10/2018,,14.40
341,2/21/2018,,0.67
342,3/30/2018,,6.22
343,10/27/2018,,13.69
344,10/13/2018,,15.27
345,7/13/2018,,14.26
346,2/10/2018,,4.50
347,3/19/2018,,10.47
348,10/24/2018,,13.97
349,9/12/2018,,11.07
350,7/25/2018,,12.00
351,1/19/2018,,3.35
352,1/19/2018,,15.66
353,10/12/2018,,13.81
354,2/19/2018,,5.08
355,1/26/2018,,6.63
356,11/18/2018,,12.29
357,4/5/2018,,19.70
358,10/9/2018,,6.41
359,11/15/2018,,1.07
360,8/2/2018,,9.20
361,11/16/2018,,1.79
362,3/15/2018,,0.34
363,1/10/2018,,16.56
364,3/22/2018,,2.01
365,9/4/2018,,4.23
366,5/2/2018,,16.04
367,1/15/2018,,6.30
368,10/12/2018,,13.72
369,6/28/2018,,17.93
370,7/2/2018,,15.82
371,10/19/2018,,9.86
372,6/11/2018,,12.46
373,10/26/2018,,2.01
374,9/6/2018,,16.23
375,8/1/2018,,0.84
376,3/20/2018,,3.47
377,6/15/2018,,1.26
378,2/25/2018,,9.69
379,8/23/2018,,18.58
380,4/4/2018,,13.48
381,7/9/2018,,5.24
382,10/23/2018,,17.61
383,4/30/2018,,0.81
384,10/24/2018,,4.87
385,1/3/2018,,11.51
386,6/11/2018,,16.52
387,10/20/2018,,4.43
388,8/21/2018,,8.57
389,6/6/2018,,13.19
390,11/25/2018,,14.83
391,9/9/2018,,5.94
392,9/23/2018,,8.59
393,1/14/2018,,18.29
394,7/6/2018,,10.57
395,10/24/2018,,3.88
396,3/10/2018,,7.36
397,11/7/2018,,8.26
398,1/26/2018,,2.90
399,11/4/2018,,19.93
400,10/9/2018,,11.98
401,8/23/2018,,7.06
402,10/11/2018,,2.70
403,8/1/2018,,16.67
404,11/29/2018,,14.28
405,10/6/2018,,1.53
406,1/6/2018,,13.27
407,4/4/2018,,3.05
408,6/10/2018,,7.77
409,7/16/2018,,18.75
410,10/5/2018,,15.22
411,8/10/2018,,17.14
412,1/30/2018,,9.39
413,3/7/2018,,17.71
414,6/24/2018,,4.98
415,7/2/2018,,16.31
416,10/3/2018,,17.16
417,1/22/2018,,5.43
418,3/27/2018,,9.45
419,2/2/2018,,3.30
420,5/27/2018,,7.57
421,1/25/2018,,4.88
422,8/29/2018,,0.29
423,7/19/2018,,7.71
424,4/17/2018,,15.11
425,10/3/2018,,16.82
426,4/28/2018,,11.05
427,4/18/2018,,17.55
428,10/8/2018,,2.28
429,1/31/2018,,13.40
430,8/29/2018,,7.17
431,6/18/2018,,3.99
432,1/24/2018,,0.33
433,5/31/2018,,15.19
434,5/21/2018,,5.74
435,2/21/2018,,16.10
436,7/27/2018,,5.53
437,5/28/2018,,2.09
438,11/8/2018,,12.16
439,4/18/2018,,11.76
440,3/20/2018,,12.90
441,8/4/2018,,10.72
442,8/15/2018,,17.74
443,9/7/2018,,3.37
444,8/18/2018,,10.41
445,5/28/2018,,17.88
446,6/11/2018,,1.90
447,10/18/2018,,13.30
448,11/3/2018,,10.87
449,4/6/2018,,13.84
450,4/10/2018,,16.17
451,11/28/2018,,1.79
452,4/28/2018,,19.48
453,11/25/2018,,5.74
454,10/9/2018,,12.48
455,8/5/2018,,4.60
456,2/26/2018,,6.87
457,10/3/2018,,11.30
458,3/13/2018,,13.34
459,8/19/2018,,19.30
460,4/14/2018,,14.27
461,5/23/2018,,8.92
462,7/23/2018,,9.72
463,1/16/2018,,12.91
464,1/25/2018,,17.26
465,5/16/2018,,18.20
466,8/22/2018,,6.79
467,4/26/2018,,2.92
468,4/21/2018,,19.90
469,5/4/2018,,18.83
470,2/28/2018,,13.26
471,10/12/2018,,11.65
472,10/26/2018,,4.50
473,8/4/2018,,14.46
474,9/5/2018,,4.16
475,8/25/2018,,5.96
476,10/17/2018,,12.11
477,1/20/2018,,11.34
478,2/28/2018,,12.35
479,1/31/2018,,19.73
480,1/19/2018,,2.14
481,9/6/2018,,5.58
482,1/7/2018,,2.19
483,7/28/2018,,0.99
484,8/6/2018,,18.26
485,4/4/2018,,19.96
486,4/8/2018,,2.68
487,11/24/2018,,19.99
488,5/18/2018,,16.09
489,5/8/2018,,1.40
490,4/23/2018,,9.88
491,10/30/2018,,6.78
492,9/21/2018,,17.60
493,1/20/2018,,2.46
494,5/12/2018,,7.78
495,4/4/2018,,7.94
496,8/23/2018,,0.73
497,4/23/2018,,13.91
498,4/26/2018,,15.34
499,8/13/2018,,14.71
500,4/17/2018,,14.90
501,6/14/2018,,19.00
502,8/23/2018,,9.72
503,4/30/2018,,4.67
504,6/8/2018,,6.85
505,10/29/2018,,14.71
506,10/11/2018,,12.92
507,4/23/2018,,7.79
508,8/5/2018,,3.42
509,7/26/2018,,8.51
510,3/19/2018,,18.79
511,10/7/2018,,3.04
512,1/3/2018,,6.71
513,11/7/2018,,6.67
514,10/1/2018,,11.09
515,8/6/2018,,19.06
516,6/12/2018,,9.87
517,6/30/2018,,6.02
518,8/29/2018,,5.24
519,8/19/2018,,18.32
520,9/18/2018,,6.52
521,1/4/2018,,13.72
522,1/28/2018,,6.64
523,2/23/2018,,0.13
524,9/11/2018,,10.64
525,10/1/2018,,3.38
526,11/10/2018,,19.53
527,10/14/2018,,5.30
528,6/29/2018,,12.08
529,1/19/2018,,8.04
530,2/24/2018,,16.97
531,1/9/2018,,0.96
532,4/14/2018,,2.95
533,5/8/2018,,5.79
534,7/31/2018,,5.39
535,4/20/2018,,16.77
536,3/31/2018,,11.52
537,6/15/2018,,5.46
538,3/22/2018,,8.26
539,1/9/2018,,17.61
540,10/19/2018,,0.87
541,11/26/2018,,9.81
542,8/22/2018,,11.05
543,1/25/2018,,7.96
544,9/3/2018,,5.74
545,9/30/2018,,18.19
546,1/14/2018,,1.29
547,2/20/2018,,8.82
548,8/30/2018,,8.31
549,8/21/2018,,13.78
550,2/22/2018,,5.69
551,5/7/2018,,9.50
552,10/10/2018,,9.22
553,2/14/2018,,19.75
554,3/14/2018,,19.68
555,2/25/2018,,13.78
556,7/6/2018,,9.35
557,2/15/2018,,1.18
558,9/17/2018,,7.81
559,11/16/2018,,7.35
560,4/13/2018,,3.95
561,2/12/2018,,1.92
562,4/17/2018,,15.62
563,8/22/2018,,6.88
564,11/10/2018,,9.45
565,6/16/2018,,16.22
566,3/26/2018,,18.64
567,8/9/2018,,9.41
568,5/14/2018,,5.18
569,6/17/2018,,1.85
570,10/8/2018,,5.50
571,8/21/2018,,4.66
572,5/31/2018,,10.32
573,10/22/2018,,3.98
574,11/21/2018,,1.74
575,4/15/2018,,5.36
576,8/17/2018,,2.74
577,4/4/2018,,4.69
578,11/3/2018,,6.96
579,1/3/2018,,2.42
580,3/12/2018,,17.19
581,7/25/2018,,10.96
582,7/7/2018,,8.98
583,8/30/2018,,2.77
584,2/28/2018,,6.13
585,11/27/2018,,5.47
586,1/11/2018,,4.10
587,5/5/2018,,0.96
588,11/19/2018,,5.96
589,9/27/2018,,4.16
590,6/18/2018,,18.83
591,6/13/2018,,1.55
592,8/9/2018,,4.11
593,1/7/2018,,2.44
594,5/20/2018,,10.69
595,11/11/2018,,11.68
596,4/17/2018,,2.81
597,10/24/2018,,14.60
598,1/9/2018,,18.67
599,6/9/2018,,15.32
600,5/6/2018,,11.00
601,10/29/2018,,4.06
602,1/5/2018,,16.67
603,8/1/2018,,9.25
604,4/15/2018,,13.79
605,4/2/2018,,11.15
606,2/16/2018,,5.23
607,6/21/2018,,8.85
608,3/19/2018,,14.53
609,6/6/2018,,1.06
610,10/14/2018,,19.24
611,8/13/2018,,14.34
612,9/27/2018,,6.74
613,2/26/2018,,15.08
614,10/14/2018,,6.04
615,8/11/2018,,18.34
616,5/17/2018,,13.19
617,4/17/2018,,18.88
618,6/30/2018,,5.09
619,11/15/2018,,8.46
620,11/26/2018,,12.05
621,11/1/2018,,4.13
622,11/22/2018,,19.82
623,3/19/2018,,6.47
624,10/19/2018,,17.39
625,2/25/2018,,17.84
626,4/5/2018,,13.93
627,11/29/2018,,15.95
628,9/10/2018,,10.18
629,10/16/2018,,12.71
630,7/27/2018,,9.56
631,5/1/2018,,12.16
632,6/23/2018,,7.44
633,10/10/2018,,11.82
634,10/1/2018,,8.24
635,4/29/2018,,3.11
636,9/19/2018,,13.09
637,6/15/2018,,16.10
638,7/22/2018,,11.78
639,7/9/2018,,13.69
640,5/24/2018,,2.80
641,11/13/2018,,17.88
642,1/18/2018,,19.32
643,5/25/2018,,19.24
644,11/30/2018,,0.04
645,2/11/2018,,12.92
646,10/12/2018,,9.91
647,10/20/2018,,0.81
648,7/30/2018,,17.28
649,8/30/2018,,4.84
650,7/2/2018,,6.44
651,1/26/2018,,4.70
652,3/8/2018,,3.85
653,11/12/2018,,16.51
654,10/21/2018,,19.25
655,2/21/2018,,0.94
656,1/7/2018,,5.66
657,8/14/2018,,9.06
658,4/22/2018,,1.58
659,7/3/2018,,6.90
660,10/23/2018,,1.36
661,8/5/2018,,0.46
662,1/22/2018,,15.40
663,3/14/2018,,4.31
664,1/4/2018,,14.94
665,3/18/2018,,19.75
666,4/14/2018,,16.57
667,4/2/2018,,17.97
668,3/19/2018,,3.89
669,11/8/2018,,17.86
670,7/8/2018,,15.41
671,1/28/2018,,6.99
672,2/3/2018,,4.88
673,8/16/2018,,4.82
674,7/24/2018,,19.59
675,5/21/2018,,7.65
676,5/12/2018,,13.69
677,10/18/2018,,4.91
678,4/9/2018,,7.66
679,6/13/2018,,4.87
680,11/17/2018,,3.06
681,2/3/2018,,0.80
682,4/22/2018,,19.62
683,3/16/2018,,4.43
684,5/23/2018,,19.64
685,9/2/2018,,5.11
686,6/14/2018,,5.58
687,1/14/2018,,2.91
688,2/15/2018,,2.98
689,3/2/2018,,1.22
690,2/28/2018,,4.98
691,7/25/2018,,3.60
692,3/2/2018,,10.86
693,11/2/2018,,2.15
694,10/13/2018,,10.84
695,9/2/2018,,7.39
696,10/28/2018,,15.47
697,8/28/2018,,2.46
698,11/19/2018,,17.03
699,5/10/2018,,7.79
700,2/5/2018,,13.47
701,4/26/2018,,4.70
702,9/6/2018,,5.38
703,6/27/2018,,4.44
704,11/6/2018,,16.17
705,7/29/2018,,8.35
706,4/20/2018,,16.17
707,2/18/2018,,15.48
708,9/1/2018,,19.71
709,6/10/2018,,8.47
710,7/23/2018,,19.84
711,4/5/2018,,0.90
712,4/29/2018,,5.90
713,7/18/2018,,9.82
714,3/27/2018,,17.76
715,3/11/2018,,11.73
716,1/21/2018,,18.36
717,6/28/2018,,0.63
718,10/24/2018,,2.72
719,1/16/2018,,17.75
720,6/2/2018,,15.43
721,11/19/2018,,1.29
722,7/3/2018,,17.72
723,10/7/2018,,16.52
724,5/4/2018,,10.33
725,2/6/2018,,11.37
726,9/23/2018,,1.24
727,9/29/2018,,14.54
728,11/10/2018,,9.66
729,6/27/2018,,16.80
730,11/8/2018,,19.33
731,3/6/2018,,5.51
732,8/22/2018,,18.03
733,4/4/2018,,5.55
734,11/17/2018,,1.86
735,7/29/2018,,12.31
736,11/19/2018,,18.77
737,6/21/2018,,4.18
738,6/9/2018,,15.56
739,7/8/2018,,10.79
740,1/8/2018,,15.53
741,11/26/2018,,0.62
742,3/21/2018,,8.75
743,10/14/2018,,19.53
744,2/9/2018,,13.65
745,10/9/2018,,18.17
746,10/30/2018,,17.73
747,6/25/2018,,9.41
748,3/13/2018,,17.43
749,9/19/2018,,1.86
750,7/6/2018,,0.77
751,10/1/2018,,11.10
752,11/30/2018,,12.37
753,11/30/2018,,15.58
754,2/12/2018,,4.02
755,5/14/2018,,12.86
756,11/3/2018,,6.26
757,11/16/2018,,14.18
758,3/16/2018,,6.07
759,5/23/2018,,17.91
760,5/16/2018,,16.00
761,9/29/2018,,7.10
762,9/28/2018,,12.73
763,1/22/2018,,3.73
764,9/8/2018,,9.61
765,7/18/2018,,7.86
766,4/4/2018,,12.60
767,2/1/2018,,11.10
768,5/12/2018,,3.18
769,6/16/2018,,13.79
770,9/13/2018,,15.68
771,6/5/2018,,18.09
772,6/11/2018,,2.29
773,7/16/2018,,16.22
774,3/15/2018,,3.15
775,7/9/2018,,15.03
776,11/14/2018,,14.44
777,3/15/2018,,1.64
778,2/4/2018,,13.11
779,5/16/2018,,5.72
780,3/1/2018,,4.88
781,3/28/2018,,17.50
782,3/10/2018,,18.26
783,10/22/2018,,7.47
784,1/23/2018,,1.13
785,4/7/2018,,5.70
786,6/1/2018,,1.03
787,10/14/2018,,16.55
788,3/26/2018,,11.35
789,8/31/2018,,13.69
790,6/24/2018,,15.34
791,2/20/2018,,9.43
792,11/10/2018,,0.31
793,8/3/2018,,9.60
794,5/23/2018,,13.99
795,1/17/2018,,18.51
796,1/21/2018,,8.98
797,8/30/2018,,10.13
798,6/16/2018,,17.20
799,11/8/2018,,4.97
800,5/8/2018,,2.57
801,7/24/2018,,18.80
802,1/18/2018,,1.38
803,8/3/2018,,10.89
804,8/19/2018,,14.23
805,5/30/2018,,2.30
806,9/28/2018,,13.24
807,8/6/2018,,5.73
808,3/3/2018,,14.08
809,8/27/2018,,2.42
810,6/24/2018,,17.23
811,10/5/2018,,19.20
812,5/18/2018,,3.35
813,1/13/2018,,8.55
814,7/28/2018,,11.57
815,8/12/2018,,17.68
816,8/3/2018,,13.54
817,8/19/2018,,5.49
818,7/18/2018,,5.95
819,1/7/2018,,12.14
820,4/11/2018,,0.44
821,6/5/2018,,7.78
822,2/3/2018,,12.98
823,5/1/2018,,6.89
824,3/11/2018,,10.67
825,2/19/2018,,6.73
826,5/6/2018,,18.43
827,2/8/2018,,3.85
828,5/23/2018,,13.41
829,8/14/2018,,5.67
830,2/26/2018,,13.79
831,1/4/2018,,9.41
832,7/10/2018,,6.52
833,7/15/2018,,7.39
834,2/5/2018,,8.48
835,2/2/2018,,11.28
836,2/8/2018,,11.21
837,9/17/2018,,19.08
838,2/20/2018,,13.65
839,6/10/2018,,12.07
840,10/25/2018,,14.40
841,6/7/2018,,18.93
842,5/17/2018,,13.74
843,8/31/2018,,4.82
844,11/18/2018,,5.85
845,11/22/2018,,12.93
846,8/13/2018,,13.16
847,1/23/2018,,14.64
848,7/25/2018,,4.66
849,6/6/2018,,12.73
850,1/4/2018,,0.75
851,2/18/2018,,6.47
852,10/5/2018,,15.06
853,2/12/2018,,13.77
854,9/13/2018,,11.56
855,6/19/2018,,5.51
856,7/24/2018,,8.34
857,3/12/2018,,14.74
858,5/17/2018,,12.26
859,6/6/2018,,8.60
860,9/17/2018,,12.36
861,11/5/2018,,16.86
862,11/4/2018,,11.17
863,7/15/2018,,14.56
864,3/21/2018,,14.01
865,1/8/2018,,3.43
866,7/5/2018,,13.09
867,7/1/2018,,9.42
868,4/18/2018,,3.26
869,11/2/2018,,12.47
870,1/8/2018,,14.01
871,5/8/2018,,7.22
872,4/2/2018,,13.07
873,5/11/2018,,19.18
874,4/18/2018,,12.63
875,2/19/2018,,16.06
876,2/26/2018,,1.07
877,5/16/2018,,0.44
878,9/24/2018,,16.87
879,9/23/2018,,17.03
880,5/4/2018,,7.05
881,6/27/2018,,8.34
882,2/20/2018,,10.16
883,1/4/2018,,8.31
884,9/20/2018,,12.72
885,5/14/2018,,16.93
886,4/13/2018,,18.21
887,6/13/2018,,1.63
888,3/5/2018,,14.03
889,5/10/2018,,12.43
890,7/11/2018,,0.02
891,10/16/2018,,6.51
892,8/25/2018,,14.04
893,5/25/2018,,12.46
894,2/21/2018,,10.64
895,3/14/2018,,11.24
896,1/8/2018,,12.81
897,3/15/2018,,15.86
898,2/18/2018,,0.32
899,7/12/2018,,1.11
900,4/24/2018,,10.47
901,2/6/2018,,8.46
902,8/7/2018,,12.20
903,7/17/2018,,6.56
904,3/8/2018,,8.83
905,2/24/2018,,10.22
906,1/22/2018,,19.10
907,6/28/2018,,0.46
908,8/14/2018,,2.99
909,1/6/2018,,11.01
910,8/8/2018,,9.14
911,4/7/2018,,19.19
912,4/12/2018,,5.82
913,1/11/2018,,8.92
914,9/8/2018,,5.01
915,2/8/2018,,15.93
916,10/14/2018,,14.65
917,5/20/2018,,11.96
918,10/10/2018,,3.37
919,6/22/2018,,14.22
920,11/30/2018,,6.12
921,4/19/2018,,2.26
922,10/4/2018,,18.17
923,5/7/2018,,6.25
924,9/21/2018,,7.45
925,4/22/2018,,7.60
926,6/29/2018,,11.16
927,6/26/2018,,9.54
928,10/15/2018,,19.90
929,6/24/2018,,4.50
930,5/26/2018,,17.62
931,11/20/2018,,6.56
932,3/25/2018,,13.71
933,5/10/2018,,12.70
934,1/31/2018,,5.58
935,10/12/2018,,19.76
936,2/11/2018,,19.41
937,4/16/2018,,4.00
938,7/27/2018,,9.43
939,2/19/2018,,18.99
940,1/18/2018,,1.64
941,5/26/2018,,8.11
942,11/18/2018,,16.69
943,4/26/2018,,15.27
944,5/18/2018,,5.70
945,7/14/2018,,4.42
946,7/25/2018,,7.37
947,1/10/2018,,1.35
948,7/20/2018,,0.62
949,4/7/2018,,4.24
950,6/1/2018,,18.64
951,6/10/2018,,6.18
952,9/18/2018,,11.68
953,8/21/2018,,2.09
954,3/30/2018,,9.74
955,7/26/2018,,5.64
956,10/6/2018,,11.88
957,5/22/2018,,14.38
958,8/24/2018,,16.89
959,6/21/2018,,0.85
960,10/17/2018,,15.25
961,9/13/2018,,10.80
962,6/26/2018,,8.91
963,3/19/2018,,6.53
964,10/1/2018,,3.66
965,1/4/2018,,1.12
966,2/25/2018,,10.60
967,1/11/2018,,11.07
968,2/9/2018,,4.01
969,6/7/2018,,7.30
970,11/29/2018,,5.12
971,1/21/2018,,13.19
972,6/21/2018,,7.89
973,1/28/2018,,8.49
974,6/6/2018,,16.60
975,11/22/2018,,12.26
976,8/1/2018,,1.38
977,5/9/2018,,4.61
978,6/24/2018,,2.67
979,5/15/2018,,4.99
980,11/17/2018,,13.72
981,4/23/2018,,3.03
982,9/5/2018,,16.96
983,6/22/2018,,4.15
984,6/16/2018,,14.80
985,5/27/2018,,7.74
986,11/26/2018,,13.80
987,7/23/2018,,10.37
988,1/15/2018,,19.76
989,11/3/2018,,11.97
990,10/21/2018,,15.99
991,11/8/2018,,10.51
992,3/8/2018,,18.93
993,7/27/2018,,2.82
994,9/21/2018,,4.96
995,8/1/2018,,7.52
996,2/2/2018,,2.94
997,11/30/2018,,13.70
