ID,Datum oddaje,teza
1015,9/24/2017,2.23
1016,7/5/2018,0.44
1017,7/16/2018,17.80
1018,2/11/2018,19.33
1019,7/21/2017,5.58
1020,8/24/2017,18.59
1021,4/16/2018,2.33
1022,1/26/2018,16.26
1023,5/30/2018,10.45
1024,10/3/2018,17.90
1025,2/28/2018,1.73
1026,8/20/2017,5.35
1027,6/21/2018,10.45
1028,7/19/2018,14.82
1029,1/22/2018,3.67
1030,5/31/2017,3.77
1031,2/11/2019,2.13
1032,7/24/2018,7.73
1033,4/11/2018,7.04
1034,5/28/2018,7.84
1035,5/12/2019,10.78
1036,9/18/2018,8.90
1037,5/27/2017,19.71
1038,8/20/2018,8.80
1039,3/29/2019,16.36
1040,8/16/2017,0.87
1041,7/30/2018,4.17
1042,7/31/2017,2.79
1043,1/31/2018,0.90
1044,5/1/2019,1.62
1045,8/27/2018,2.22
1046,8/4/2018,13.40
1047,11/3/2017,18.19
1048,2/11/2019,5.59
1049,6/16/2018,12.03
1050,6/6/2017,15.19
1051,1/1/2019,4.70
1052,11/10/2017,13.80
1053,9/11/2018,17.97
1054,1/23/2019,14.91
1055,5/24/2017,15.79
1056,2/21/2019,17.07
1057,7/14/2017,2.75
1058,5/14/2019,14.34
1059,4/11/2019,0.48
1060,4/10/2018,14.01
1061,3/19/2019,10.32
1062,1/29/2018,11.70
1063,8/4/2017,15.61
1064,3/9/2018,11.42
1065,12/3/2018,12.84
1066,4/25/2019,3.39
1067,5/14/2019,1.12
1068,4/8/2019,8.25
1069,12/22/2017,16.11
